nombre_bebida;tiempo_de_preparacion;calorias;grasa_total;precio;descripcion;imagen
Latte Vainilla;4 min;190;6 g;4,5;Espresso con leche al vapor y jarabe de vainilla.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_LATTE-09.png.webp?itok=RpwQ_ZWL
Cappuccino;3 min;120;4 g;4,2;Espresso cubierto con leche espumada y ligera capa de leche caliente.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_CAPPUCCINO-03.png.webp?itok=aItJqAKb
Mocha Chocolate;5 min;370;15 g;5;Espresso con jarabe de chocolate, leche al vapor y crema batida.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_MOCHA%20LATTE-12.png.webp?itok=z_Ekoffq
Caramel Macchiato;5 min;250;7 g;5,2;Espresso vertido sobre leche con vainilla y cubierto con caramelo.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_CARAMEL-MACCHIATO-HOT-VIDRIO-DOS-04.png.webp?itok=pd-21_a4
Frappuccino Mocha;6 min;410;15 g;5,8;Mezcla helada de café, jarabe de chocolate, leche y crema batida.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_MOCHA%20BLANCO-11.png.webp?itok=GZ13-032
Té Chai Latte;4 min;240;5 g;4,8;Té negro con especias, leche caliente y espuma ligera.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2024-01_Chai-Latte-Caliente.png.webp?itok=72TOUgiU
Matcha Latte;4 min;200;7 g;5;Té verde matcha en polvo con leche vaporizada y espuma.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_GREEN-TEA-LATTE-HOT-VIDRIO%20%282%29.png.webp?itok=CcUiXOF7
Cold Brew;2 min;5;0 g;3,8;Café infusionado en frío durante 20 horas, servido con hielo.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-03_COLD%20BREW.png.webp?itok=yaeRdjaz
Espresso Doble;1 min;10;0 g;2,5;Dos shots de espresso intenso y aromático.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2022-04_ESPRESSO%20DOBLE.png.webp?itok=i_0ABsPz
Frappuccino Caramelo;6 min;420;16 g;5,9;Café mezclado con hielo, jarabe de caramelo y crema batida.;https://www.starbucks.com.co/sites/starbucks-co-pwa/files/styles/c04_image_text_grid_600x600/public/2025-01/2024-01_Caramel-Frappuccino.png.webp?itok=2XcV-s5Z
